SIM_channels,HCT_12C_1,HCT_12C_2,HCT_12C_3,WiDr_12C_1,WiDr_12C_2,WiDr_12C_3,HCT_1-13C_Gluc_1,HCT_1-13C_Gluc_2,HCT_1-13C_Gluc_3,WiDr_1-13C_Gluc_1,WiDr_1-13C_Gluc_2,WiDr_1-13C_Gluc_3,HCT_U-13C_Gluc_1,HCT_U-13C_Gluc_2,HCT_U-13C_Gluc_3,WiDr_U-13C_Gluc_1,WiDr_U-13C_Gluc_2,WiDr_U-13C_Gluc_3,HCT_U-13C_GLN_1,HCT_U-13C_GLN_2,HCT_U-13C_GLN_3,WiDr_U-13C_GLN_1,WiDr_U-13C_GLN_2,WiDr_U-13C_GLN_3
Cit[M-189]_M+7,0,0,0,0,0,0,0,0,0,0,0,0,9052,8652,8351,5559,6347,6658,4473,11840,12161,10168,12389,8347
Cit[M-189]_M+8,0,0,0,0,0,0,0,0,0,0,0,0,1949,2675,2734,1799,1868,2130,1527,3996,4059,3357,3621,2824
Cit[M-189]_M+9,0,0,0,0,0,0,0,0,0,0,0,0,806,846,1060,908,824,904,293,575,744,519,1193,456
aKG[M-57]_M+0,48075,52718,74597,27095,19394,57580,89327,76799,78619,76203,53373,56452,78103,75270,81444,45188,61587,66040,1224,5116,5515,4650,4269,3848
aKG[M-57]_M+1,12559,13828,19721,6995,5453,15080,29846,25356,25699,23684,16463,17642,20885,20095,21561,12174,15900,17203,205,3093,4441,2019,2496,1543
aKG[M-57]_M+2,4933,5588,8099,2999,2132,6517,11489,9554,9385,9543,6867,7393,18469,18376,19770,8346,12381,12745,536,3082,3673,1963,2454,1572
aKG[M-57]_M+3,985,1150,1495,553,369,909,2224,2020,2224,1982,1324,1568,4893,4948,5299,2236,3032,3112,1245,12622,13120,7810,9078,6090
aKG[M-57]_M+4,254,199,226,115,79,187,396,623,439,376,196,326,2606,2513,2816,1022,1518,1541,615,5980,6073,4815,5320,3408
aKG[M-57]_M+5,0,0,0,0,0,0,0,0,0,0,0,0,786,771,1024,345,480,677,7947,79754,80872,75990,90080,60114
aKG[M-57]_M+6,0,0,0,0,0,0,0,0,0,0,0,0,234,163,371,0,272,169,1505,16904,16888,16112,18940,12409
aKG[M-57]_M+7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,7567,7775,7517,8729,5939
aKG[M-57]_M+8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,1573,1275,1258,1540,929
Suc[M-57]_M+0,148812,139800,166045,85374,67208,151548,160551,147543,126569,178466,160050,128078,143899,130303,143533,163385,143783,137218,12353,32068,32699,30853,38157,28198
Suc[M-57]_M+1,29259,25025,30880,18399,14273,32438,45287,41745,37131,48944,44541,36139,35152,30694,35435,40152,33653,33512,5663,11186,12040,11109,13202,9638
Suc[M-57]_M+2,13494,11583,14879,7679,6345,13633,18046,16394,14437,19666,17682,14179,46037,40385,44827,44487,38599,39723,17734,23534,23834,18029,21048,16512
Suc[M-57]_M+3,2094,1678,1735,1244,808,2067,3550,3134,2842,3786,3660,3024,11724,10506,11712,10134,9660,8894,7382,9567,9835,8743,9665,7807
Suc[M-57]_M+4,373,329,492,304,306,539,803,1017,894,816,712,833,4964,4317,4808,4670,4367,4775,101952,127341,128257,134400,152254,120648
Suc[M-57]_M+5,0,0,0,0,0,0,0,552,0,0,0,0,1178,1259,1421,1318,995,1511,20129,25129,24863,26235,29706,24373
Suc[M-57]_M+6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5502,7254,7703,6688,7040,4900
Suc[M-57]_M+7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,897,1483,1488,1144,1116
Fum[M-57]_M+0,81071,77143,100500,57819,45403,106450,102472,85559,87149,133625,105313,92283,92690,90524,99300,106048,112555,107539,5551,12324,12779,19065,24193,16774
Fum[M-57]_M+1,18877,18033,24145,13804,11369,27010,31212,26211,26220,40345,32034,27850,23220,22203,24321,26300,27751,26279,1916,4941,5081,6280,7915,6132
Fum[M-57]_M+2,14811,13865,19617,10904,8859,21205,25092,20302,20424,32118,25196,21897,40860,40832,45972,38248,44018,41418,9538,29517,32566,27966,34399,25075
Fum[M-57]_M+3,2068,2190,2818,2234,1479,3756,5507,4214,3723,6261,5259,4157,16242,15332,19772,20466,23974,21008,9237,30084,31431,52329,60363,45869
Fum[M-57]_M+4,1075,593,913,625,453,1427,2544,1984,1579,1470,1460,1034,5703,7323,6974,6307,7678,6768,52770,159584,167880,185821,217245,162172
Fum[M-57]_M+5,0,0,0,0,0,0,0,0,0,0,0,0,1524,1531,1420,2460,2089,1857,10359,33411,34940,39935,46304,34981
Fum[M-57]_M+6,0,0,0,0,0,0,0,0,0,0,0,0,0,819,414,0,0,0,5197,14759,14786,16433,19533,14503
Fum[M-57]_M+7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,2086,1952,2429,2623,1934
Mal[M-57]_M+0,216688,224901,307149,156731,123490,304802,325029,269762,287525,407981,329061,282206,292264,283169,306159,321527,345225,323013,10431,25961,28676,39451,47406,36556
Mal[M-57]_M+1,75950,79155,108200,56536,43304,106945,135238,110756,121333,169231,137766,117548,106976,102457,110686,115525,124091,115716,7537,20200,20905,22578,26213,20260
Mal[M-57]_M+2,36046,37686,51821,26556,20615,51077,63067,51957,55637,78063,63541,54912,85282,82668,90233,79513,90503,81135,18326,51120,54692,48559,55956,42774
Mal[M-57]_M+3,8633,9249,12488,6674,4967,12252,17717,14583,15299,21502,17055,15250,34769,34035,37813,39428,46138,41587,19507,56005,58896,92068,101156,77670
Mal[M-57]_M+4,2199,2645,3436,1786,1525,2953,4534,3718,4250,5301,3951,3799,13485,13097,14752,14461,17853,15529,95636,273597,286629,319477,358445,267898
Mal[M-57]_M+5,480,728,617,275,230,606,689,573,833,1066,720,839,4039,4079,4479,4583,6057,5320,30050,85911,90198,102526,115094,85926
Mal[M-57]_M+6,0,0,0,0,0,0,0,0,0,0,0,0,971,1370,850,1337,2231,924,14271,40503,42843,46980,52958,39813
Mal[M-57]_M+7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,1597,4522,4435,5101,5775,4082
